x,y,z,timestamp
100.0,50.0,30,2025-01-01 10:00:06
98.83,60.75,30,2025-01-01 10:00:16
95.38,70.99,30,2025-01-01 10:00:26
89.8,80.26,30,2025-01-01 10:00:36
82.37,88.11,30,2025-01-01 10:00:46
73.42,94.18,30,2025-01-01 10:00:56
63.38,98.18,30,2025-01-01 10:01:06
52.71,99.93,30,2025-01-01 10:01:16
41.91,99.34,30,2025-01-01 10:01:26
31.49,96.45,30,2025-01-01 10:01:36
21.94,91.38,30,2025-01-01 10:01:46
13.7,84.38,30,2025-01-01 10:01:56
7.16,75.78,30,2025-01-01 10:02:06
2.62,65.97,30,2025-01-01 10:02:16
0.29,55.41,30,2025-01-01 10:02:26
0.29,44.59,30,2025-01-01 10:02:36
2.62,34.03,30,2025-01-01 10:02:46
7.16,24.22,30,2025-01-01 10:02:56
13.7,15.62,30,2025-01-01 10:03:06
21.94,8.62,30,2025-01-01 10:03:16
31.49,3.55,30,2025-01-01 10:03:26
41.91,0.66,30,2025-01-01 10:03:36
52.71,0.07,30,2025-01-01 10:03:46
63.38,1.82,30,2025-01-01 10:03:56
73.42,5.82,30,2025-01-01 10:04:06
82.37,11.89,30,2025-01-01 10:04:16
89.8,19.74,30,2025-01-01 10:04:26
95.38,29.01,30,2025-01-01 10:04:36
98.83,39.25,30,2025-01-01 10:04:46
100.0,50.0,30,2025-01-01 10:04:56
