x,y,z,timestamp
80.0,153.0,10.0,2025-01-01T10:00:00
83.8,144.8,11.0,2025-01-01T10:00:05
87.6,148.6,12.0,2025-01-01T10:00:10
76.4,140.4,13.0,2025-01-01T10:00:15
80.2,144.2,12.0,2025-01-01T10:00:20
84.0,136.0,13.0,2025-01-01T10:00:25
72.8,139.8,14.0,2025-01-01T10:00:30
76.6,131.6,15.0,2025-01-01T10:00:35
80.4,135.4,14.0,2025-01-01T10:00:40
69.2,127.2,15.0,2025-01-01T10:00:45
73.0,131.0,16.0,2025-01-01T10:00:50
76.8,122.8,17.0,2025-01-01T10:00:55
65.6,126.6,16.0,2025-01-01T10:01:00
69.4,118.4,17.0,2025-01-01T10:01:05
73.2,122.2,18.0,2025-01-01T10:01:10
62.0,114.0,19.0,2025-01-01T10:01:15
65.8,117.8,18.0,2025-01-01T10:01:20
69.6,109.6,19.0,2025-01-01T10:01:25
58.4,113.4,20.0,2025-01-01T10:01:30
62.2,105.2,21.0,2025-01-01T10:01:35
66.0,109.0,20.0,2025-01-01T10:01:40
54.8,100.8,21.0,2025-01-01T10:01:45
58.6,104.6,22.0,2025-01-01T10:01:50
62.4,96.4,23.0,2025-01-01T10:01:55
51.2,100.2,22.0,2025-01-01T10:02:00
