x,y,z,timestamp
0.0,0.0,30,2025-01-01 10:00:36
3.45,3.45,30,2025-01-01 10:00:46
6.9,6.9,30,2025-01-01 10:00:56
10.34,10.34,30,2025-01-01 10:01:06
13.79,13.79,30,2025-01-01 10:01:16
17.24,17.24,30,2025-01-01 10:01:26
20.69,20.69,30,2025-01-01 10:01:36
24.14,24.14,30,2025-01-01 10:01:46
27.59,27.59,30,2025-01-01 10:01:56
31.03,31.03,30,2025-01-01 10:02:06
34.48,34.48,30,2025-01-01 10:02:16
37.93,37.93,30,2025-01-01 10:02:26
41.38,41.38,30,2025-01-01 10:02:36
44.83,44.83,30,2025-01-01 10:02:46
48.28,48.28,30,2025-01-01 10:02:56
51.72,51.72,30,2025-01-01 10:03:06
55.17,55.17,30,2025-01-01 10:03:16
58.62,58.62,30,2025-01-01 10:03:26
62.07,62.07,30,2025-01-01 10:03:36
65.52,65.52,30,2025-01-01 10:03:46
68.97,68.97,30,2025-01-01 10:03:56
72.41,72.41,30,2025-01-01 10:04:06
75.86,75.86,30,2025-01-01 10:04:16
79.31,79.31,30,2025-01-01 10:04:26
82.76,82.76,30,2025-01-01 10:04:36
86.21,86.21,30,2025-01-01 10:04:46
89.66,89.66,30,2025-01-01 10:04:56
93.1,93.1,30,2025-01-01 10:05:06
96.55,96.55,30,2025-01-01 10:05:16
100.0,100.0,30,2025-01-01 10:05:26
