x,y,z,timestamp
10,15.0,12.0,2025-01-01T10:00:00
12,7.5,12.7,2025-01-01T10:00:05
14,20.0,13.4,2025-01-01T10:00:10
16,12.5,14.1,2025-01-01T10:00:15
18,25.0,14.8,2025-01-01T10:00:20
20,17.5,10.5,2025-01-01T10:00:25
22,30.0,11.2,2025-01-01T10:00:30
24,22.5,11.9,2025-01-01T10:00:35
26,35.0,12.6,2025-01-01T10:00:40
28,27.5,13.3,2025-01-01T10:00:45
30,40.0,9.0,2025-01-01T10:00:50
32,32.5,9.7,2025-01-01T10:00:55
34,45.0,10.4,2025-01-01T10:01:00
36,37.5,11.1,2025-01-01T10:01:05
38,50.0,11.8,2025-01-01T10:01:10
40,42.5,7.5,2025-01-01T10:01:15
42,55.0,8.2,2025-01-01T10:01:20
44,47.5,8.9,2025-01-01T10:01:25
46,60.0,9.6,2025-01-01T10:01:30
48,52.5,10.3,2025-01-01T10:01:35
50,65.0,6.0,2025-01-01T10:01:40
52,57.5,6.7,2025-01-01T10:01:45
54,70.0,7.4,2025-01-01T10:01:50
56,62.5,8.1,2025-01-01T10:01:55
58,75.0,8.8,2025-01-01T10:02:00
