x,y,z,timestamp
0,55.0,15.0,2025-01-01T10:00:00
3,43.5,15.8,2025-01-01T10:00:05
6,52.0,16.6,2025-01-01T10:00:10
9,40.5,17.4,2025-01-01T10:00:15
12,49.0,18.2,2025-01-01T10:00:20
15,37.5,14.0,2025-01-01T10:00:25
18,46.0,14.8,2025-01-01T10:00:30
21,34.5,15.6,2025-01-01T10:00:35
24,43.0,16.4,2025-01-01T10:00:40
27,31.5,17.2,2025-01-01T10:00:45
30,40.0,13.0,2025-01-01T10:00:50
33,28.5,13.8,2025-01-01T10:00:55
36,37.0,14.6,2025-01-01T10:01:00
39,25.5,15.4,2025-01-01T10:01:05
42,34.0,16.2,2025-01-01T10:01:10
45,22.5,12.0,2025-01-01T10:01:15
48,31.0,12.8,2025-01-01T10:01:20
51,19.5,13.6,2025-01-01T10:01:25
54,28.0,14.4,2025-01-01T10:01:30
57,16.5,15.2,2025-01-01T10:01:35
60,25.0,11.0,2025-01-01T10:01:40
63,13.5,11.8,2025-01-01T10:01:45
66,22.0,12.6,2025-01-01T10:01:50
69,10.5,13.4,2025-01-01T10:01:55
72,19.0,14.2,2025-01-01T10:02:00
